place
Plymouth
Torpoint
Bristol
Bristol
Somerset
Yeovil
Braunton
Braunton
Ilfracombe
Yeovil
Cornwall
Cornwall
Praze-an-Beeble
Newton Ferrers
Saltash
Camborne
Bodmin
Salcombe
Port Isaac
St Ives
Carbis Bay
Falmouth
Mawnan Smith
Plymouth University
Bournemouth
Wimborne
Dorchester
Wimborne
Poole
Bristol
Bournemouth
Wimborne
Plymouth
Torpoint
Plymouth
Plymouth
Plymouth
Bristol
Plymouth
Cornwall
Plymouth
Bournemouth
St Ives
Truro
Truro
St Ives
Newquay
